Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FO,Forestry Production and Trade,4,Afghanistan,5516,Production,1861,Roundwood,2015,2015,m3,3551747,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2015,2015,m3,1180010,E,Estimated value,
FO,Forestry Production and Trade,12,Algeria,5516,Production,1861,Roundwood,2015,2015,m3,8671832,E,Estimated value,
FO,Forestry Production and Trade,20,Andorra,5516,Production,1861,Roundwood,2015,2015,m3,0,E,Estimated value,
FO,Forestry Production and Trade,24,Angola,5516,Production,1861,Roundwood,2015,2015,m3,5704689,E,Estimated value,
FO,Forestry Production and Trade,32,Argentina,5516,Production,1861,Roundwood,2015,2015,m3,16221000,E,Estimated value,
FO,Forestry Production and Trade,51,Armenia,5516,Production,1861,Roundwood,2015,2015,m3,1547900,E,Estimated value,
FO,Forestry Production and Trade,533,Aruba,5516,Production,1861,Roundwood,2015,2015,m3,2075,E,Estimated value,
FO,Forestry Production and Trade,36,Australia,5516,Production,1861,Roundwood,2015,2015,m3,31386248,E,Estimated value,
FO,Forestry Production and Trade,40,Austria,5516,Production,1861,Roundwood,2015,2015,m3,17549526,E,Estimated value,
FO,Forestry Production and Trade,31,Azerbaijan,5516,Production,1861,Roundwood,2015,2015,m3,425300,E,Estimated value,
FO,Forestry Production and Trade,44,Bahamas,5516,Production,1861,Roundwood,2015,2015,m3,50711,E,Estimated value,
FO,Forestry Production and Trade,48,Bahrain,5516,Production,1861,Roundwood,2015,2015,m3,7035,E,Estimated value,
FO,Forestry Production and Trade,50,Bangladesh,5516,Production,1861,Roundwood,2015,2015,m3,26925057,E,Estimated value,
FO,Forestry Production and Trade,52,Barbados,5516,Production,1861,Roundwood,2015,2015,m3,10847,E,Estimated value,
FO,Forestry Production and Trade,112,Belarus,5516,Production,1861,Roundwood,2015,2015,m3,19568000,E,Estimated value,
FO,Forestry Production and Trade,56,Belgium,5516,Production,1861,Roundwood,2015,2015,m3,5412140,E,Estimated value,
FO,Forestry Production and Trade,84,Belize,5516,Production,1861,Roundwood,2015,2015,m3,167000,E,Estimated value,
FO,Forestry Production and Trade,204,Benin,5516,Production,1861,Roundwood,2015,2015,m3,6798877,E,Estimated value,
