Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FO,Forestry Production and Trade,64,Bhutan,5516,Production,1861,Roundwood,2015,2015,m3,5239825,E,Estimated value,
FO,Forestry Production and Trade,68,Bolivia (Plurinational State of),5516,Production,1861,Roundwood,2015,2015,m3,3396766,E,Estimated value,
FO,Forestry Production and Trade,70,Bosnia and Herzegovina,5516,Production,1861,Roundwood,2015,2015,m3,4421710,E,Estimated value,
FO,Forestry Production and Trade,72,Botswana,5516,Production,1861,Roundwood,2015,2015,m3,804139,E,Estimated value,
FO,Forestry Production and Trade,76,Brazil,5516,Production,1861,Roundwood,2015,2015,m3,247884000,E,Estimated value,
FO,Forestry Production and Trade,92,British Virgin Islands,5516,Production,1861,Roundwood,2015,2015,m3,1539,E,Estimated value,
FO,Forestry Production and Trade,96,Brunei Darussalam,5516,Production,1861,Roundwood,2015,2015,m3,96654,E,Estimated value,
FO,Forestry Production and Trade,100,Bulgaria,5516,Production,1861,Roundwood,2015,2015,m3,6372102,E,Estimated value,
FO,Forestry Production and Trade,854,Burkina Faso,5516,Production,1861,Roundwood,2015,2015,m3,14884710,E,Estimated value,
FO,Forestry Production and Trade,108,Burundi,5516,Production,1861,Roundwood,2015,2015,m3,6624000,E,Estimated value,
FO,Forestry Production and Trade,132,Cabo Verde,5516,Production,1861,Roundwood,2015,2015,m3,186000,E,Estimated value,
FO,Forestry Production and Trade,116,Cambodia,5516,Production,1861,Roundwood,2015,2015,m3,8101547,E,Estimated value,
FO,Forestry Production and Trade,120,Cameroon,5516,Production,1861,Roundwood,2015,2015,m3,13925903,E,Estimated value,
FO,Forestry Production and Trade,124,Canada,5516,Production,1861,Roundwood,2015,2015,m3,155996540,E,Estimated value,
FO,Forestry Production and Trade,140,Central African Republic,5516,Production,1861,Roundwood,2015,2015,m3,2623154,E,Estimated value,
FO,Forestry Production and Trade,148,Chad,5516,Production,1861,Roundwood,2015,2015,m3,8423541,E,Estimated value,
FO,Forestry Production and Trade,152,Chile,5516,Production,1861,Roundwood,2015,2015,m3,59756789,E,Estimated value,
FO,Forestry Production and Trade,159,China,5516,Production,1861,Roundwood,2015,2015,m3,321181826,E,Estimated value,
FO,Forestry Production and Trade,344,"China, Hong Kong SAR",5516,Production,1861,Roundwood,2015,2015,m3,84294,E,Estimated value,
FO,Forestry Production and Trade,446,"China, Macao SAR",5516,Production,1861,Roundwood,2015,2015,m3,8151,E,Estimated value,
FO,Forestry Production and Trade,156,"China, mainland",5516,Production,1861,Roundwood,2015,2015,m3,319613749,E,Estimated value,
FO,Forestry Production and Trade,158,"China, Taiwan Province of",5516,Production,1861,Roundwood,2015,2015,m3,1475632,E,Estimated value,
FO,Forestry Production and Trade,162,Christmas Island,5516,Production,1861,Roundwood,2015,2015,m3,17,E,Estimated value,
FO,Forestry Production and Trade,170,Colombia,5516,Production,1861,Roundwood,2015,2015,m3,12563000,E,Estimated value,
FO,Forestry Production and Trade,174,Comoros,5516,Production,1861,Roundwood,2015,2015,m3,326617,E,Estimated value,
FO,Forestry Production and Trade,178,Congo,5516,Production,1861,Roundwood,2015,2015,m3,3589685,E,Estimated value,
FO,Forestry Production and Trade,184,Cook Islands,5516,Production,1861,Roundwood,2015,2015,m3,5000,E,Estimated value,
FO,Forestry Production and Trade,188,Costa Rica,5516,Production,1861,Roundwood,2015,2015,m3,4683253,E,Estimated value,
FO,Forestry Production and Trade,384,Côte d'Ivoire,5516,Production,1861,Roundwood,2015,2015,m3,11792511,E,Estimated value,
FO,Forestry Production and Trade,191,Croatia,5516,Production,1861,Roundwood,2015,2015,m3,5178471,E,Estimated value,
FO,Forestry Production and Trade,192,Cuba,5516,Production,1861,Roundwood,2015,2015,m3,1794000,E,Estimated value,
FO,Forestry Production and Trade,196,Cyprus,5516,Production,1861,Roundwood,2015,2015,m3,10595,E,Estimated value,
FO,Forestry Production and Trade,203,Czechia,5516,Production,1861,Roundwood,2015,2015,m3,16163000,E,Estimated value,
FO,Forestry Production and Trade,408,Democratic People's Republic of Korea,5516,Production,1861,Roundwood,2015,2015,m3,7635553,E,Estimated value,
FO,Forestry Production and Trade,180,Democratic Republic of the Congo,5516,Production,1861,Roundwood,2015,2015,m3,87137375,E,Estimated value,
FO,Forestry Production and Trade,208,Denmark,5516,Production,1861,Roundwood,2015,2015,m3,4311300,E,Estimated value,
FO,Forestry Production and Trade,262,Djibouti,5516,Production,1861,Roundwood,2015,2015,m3,384902,E,Estimated value,
FO,Forestry Production and Trade,212,Dominica,5516,Production,1861,Roundwood,2015,2015,m3,7528,E,Estimated value,
FO,Forestry Production and Trade,214,Dominican Republic,5516,Production,1861,Roundwood,2015,2015,m3,1000610,E,Estimated value,
FO,Forestry Production and Trade,218,Ecuador,5516,Production,1861,Roundwood,2015,2015,m3,7445312,E,Estimated value,
FO,Forestry Production and Trade,818,Egypt,5516,Production,1861,Roundwood,2015,2015,m3,18008286,E,Estimated value,
FO,Forestry Production and Trade,222,El Salvador,5516,Production,1861,Roundwood,2015,2015,m3,4873102,E,Estimated value,
FO,Forestry Production and Trade,226,Equatorial Guinea,5516,Production,1861,Roundwood,2015,2015,m3,1217000,E,Estimated value,
FO,Forestry Production and Trade,232,Eritrea,5516,Production,1861,Roundwood,2015,2015,m3,1023031,E,Estimated value,
FO,Forestry Production and Trade,233,Estonia,5516,Production,1861,Roundwood,2015,2015,m3,9515031,E,Estimated value,
FO,Forestry Production and Trade,748,Eswatini,5516,Production,1861,Roundwood,2015,2015,m3,2263000,E,Estimated value,
FO,Forestry Production and Trade,231,Ethiopia,5516,Production,1861,Roundwood,2015,2015,m3,111108872,E,Estimated value,
FO,Forestry Production and Trade,238,Falkland Islands (Malvinas),5516,Production,1861,Roundwood,2015,2015,m3,810,E,Estimated value,
FO,Forestry Production and Trade,234,Faroe Islands,5516,Production,1861,Roundwood,2015,2015,m3,0,E,Estimated value,
FO,Forestry Production and Trade,242,Fiji,5516,Production,1861,Roundwood,2015,2015,m3,837000,E,Estimated value,
FO,Forestry Production and Trade,246,Finland,5516,Production,1861,Roundwood,2015,2015,m3,59410884,E,Estimated value,
FO,Forestry Production and Trade,250,France,5516,Production,1861,Roundwood,2015,2015,m3,50419331,E,Estimated value,
FO,Forestry Production and Trade,254,French Guiana,5516,Production,1861,Roundwood,2015,2015,m3,257337,E,Estimated value,
FO,Forestry Production and Trade,258,French Polynesia,5516,Production,1861,Roundwood,2015,2015,m3,5582,E,Estimated value,
FO,Forestry Production and Trade,266,Gabon,5516,Production,1861,Roundwood,2015,2015,m3,3070000,E,Estimated value,
FO,Forestry Production and Trade,270,Gambia,5516,Production,1861,Roundwood,2015,2015,m3,948892,E,Estimated value,
FO,Forestry Production and Trade,268,Georgia,5516,Production,1861,Roundwood,2015,2015,m3,642724,E,Estimated value,
FO,Forestry Production and Trade,276,Germany,5516,Production,1861,Roundwood,2015,2015,m3,68998504,E,Estimated value,
FO,Forestry Production and Trade,288,Ghana,5516,Production,1861,Roundwood,2015,2015,m3,46628427,E,Estimated value,
FO,Forestry Production and Trade,292,Gibraltar,5516,Production,1861,Roundwood,2015,2015,m3,0,E,Estimated value,
FO,Forestry Production and Trade,300,Greece,5516,Production,1861,Roundwood,2015,2015,m3,1432000,E,Estimated value,
FO,Forestry Production and Trade,312,Guadeloupe,5516,Production,1861,Roundwood,2015,2015,m3,15057,E,Estimated value,
FO,Forestry Production and Trade,320,Guatemala,5516,Production,1861,Roundwood,2015,2015,m3,20537791,E,Estimated value,
FO,Forestry Production and Trade,324,Guinea,5516,Production,1861,Roundwood,2015,2015,m3,12882215,E,Estimated value,
FO,Forestry Production and Trade,624,Guinea-Bissau,5516,Production,1861,Roundwood,2015,2015,m3,2923273,E,Estimated value,
FO,Forestry Production and Trade,328,Guyana,5516,Production,1861,Roundwood,2015,2015,m3,1186256,E,Estimated value,
FO,Forestry Production and Trade,332,Haiti,5516,Production,1861,Roundwood,2015,2015,m3,2328074,E,Estimated value,
FO,Forestry Production and Trade,340,Honduras,5516,Production,1861,Roundwood,2015,2015,m3,9097616,E,Estimated value,
FO,Forestry Production and Trade,348,Hungary,5516,Production,1861,Roundwood,2015,2015,m3,5743969,E,Estimated value,
FO,Forestry Production and Trade,352,Iceland,5516,Production,1861,Roundwood,2015,2015,m3,3640,E,Estimated value,
FO,Forestry Production and Trade,356,India,5516,Production,1861,Roundwood,2015,2015,m3,356150908,E,Estimated value,
FO,Forestry Production and Trade,360,Indonesia,5516,Production,1861,Roundwood,2015,2015,m3,122317741,E,Estimated value,
FO,Forestry Production and Trade,364,Iran (Islamic Republic of),5516,Production,1861,Roundwood,2015,2015,m3,499000,E,Estimated value,
FO,Forestry Production and Trade,368,Iraq,5516,Production,1861,Roundwood,2015,2015,m3,177000,E,Estimated value,
FO,Forestry Production and Trade,372,Ireland,5516,Production,1861,Roundwood,2015,2015,m3,2907990,E,Estimated value,
FO,Forestry Production and Trade,376,Israel,5516,Production,1861,Roundwood,2015,2015,m3,27000,E,Estimated value,
FO,Forestry Production and Trade,380,Italy,5516,Production,1861,Roundwood,2015,2015,m3,13077800,E,Estimated value,
FO,Forestry Production and Trade,388,Jamaica,5516,Production,1861,Roundwood,2015,2015,m3,676590,E,Estimated value,
FO,Forestry Production and Trade,392,Japan,5516,Production,1861,Roundwood,2015,2015,m3,23918000,E,Estimated value,
FO,Forestry Production and Trade,400,Jordan,5516,Production,1861,Roundwood,2015,2015,m3,346503,E,Estimated value,
FO,Forestry Production and Trade,398,Kazakhstan,5516,Production,1861,Roundwood,2015,2015,m3,340000,E,Estimated value,
FO,Forestry Production and Trade,404,Kenya,5516,Production,1861,Roundwood,2015,2015,m3,27432000,E,Estimated value,
FO,Forestry Production and Trade,296,Kiribati,5516,Production,1861,Roundwood,2015,2015,m3,3193,E,Estimated value,
FO,Forestry Production and Trade,414,Kuwait,5516,Production,1861,Roundwood,2015,2015,m3,19809,E,Estimated value,
FO,Forestry Production and Trade,417,Kyrgyzstan,5516,Production,1861,Roundwood,2015,2015,m3,45920,E,Estimated value,
FO,Forestry Production and Trade,418,Lao People's Democratic Republic,5516,Production,1861,Roundwood,2015,2015,m3,8120748,E,Estimated value,
FO,Forestry Production and Trade,428,Latvia,5516,Production,1861,Roundwood,2015,2015,m3,12294416,E,Estimated value,
FO,Forestry Production and Trade,422,Lebanon,5516,Production,1861,Roundwood,2015,2015,m3,36706,E,Estimated value,
FO,Forestry Production and Trade,426,Lesotho,5516,Production,1861,Roundwood,2015,2015,m3,2131497,E,Estimated value,
FO,Forestry Production and Trade,430,Liberia,5516,Production,1861,Roundwood,2015,2015,m3,8687356,E,Estimated value,
FO,Forestry Production and Trade,434,Libya,5516,Production,1861,Roundwood,2015,2015,m3,1127659,E,Estimated value,
FO,Forestry Production and Trade,438,Liechtenstein,5516,Production,1861,Roundwood,2015,2015,m3,8065,E,Estimated value,
FO,Forestry Production and Trade,440,Lithuania,5516,Production,1861,Roundwood,2015,2015,m3,6414000,E,Estimated value,
FO,Forestry Production and Trade,442,Luxembourg,5516,Production,1861,Roundwood,2015,2015,m3,372389,E,Estimated value,
FO,Forestry Production and Trade,450,Madagascar,5516,Production,1861,Roundwood,2015,2015,m3,14062380,E,Estimated value,
FO,Forestry Production and Trade,454,Malawi,5516,Production,1861,Roundwood,2015,2015,m3,7160655,E,Estimated value,
FO,Forestry Production and Trade,458,Malaysia,5516,Production,1861,Roundwood,2015,2015,m3,16992344,E,Estimated value,
FO,Forestry Production and Trade,462,Maldives,5516,Production,1861,Roundwood,2015,2015,m3,16216,E,Estimated value,
FO,Forestry Production and Trade,466,Mali,5516,Production,1861,Roundwood,2015,2015,m3,6447995,E,Estimated value,
FO,Forestry Production and Trade,470,Malta,5516,Production,1861,Roundwood,2015,2015,m3,0,E,Estimated value,
FO,Forestry Production and Trade,474,Martinique,5516,Production,1861,Roundwood,2015,2015,m3,10959,E,Estimated value,
FO,Forestry Production and Trade,478,Mauritania,5516,Production,1861,Roundwood,2015,2015,m3,2083160,E,Estimated value,
FO,Forestry Production and Trade,480,Mauritius,5516,Production,1861,Roundwood,2015,2015,m3,2000,E,Estimated value,
FO,Forestry Production and Trade,175,Mayotte,5516,Production,1861,Roundwood,2015,2015,m3,26650,E,Estimated value,
FO,Forestry Production and Trade,484,Mexico,5516,Production,1861,Roundwood,2015,2015,m3,44257238,E,Estimated value,
FO,Forestry Production and Trade,583,Micronesia (Federated States of),5516,Production,1861,Roundwood,2015,2015,m3,2607,E,Estimated value,
FO,Forestry Production and Trade,496,Mongolia,5516,Production,1861,Roundwood,2015,2015,m3,762000,E,Estimated value,
FO,Forestry Production and Trade,499,Montenegro,5516,Production,1861,Roundwood,2015,2015,m3,1000000,E,Estimated value,
FO,Forestry Production and Trade,504,Morocco,5516,Production,1861,Roundwood,2015,2015,m3,7156160,E,Estimated value,
FO,Forestry Production and Trade,508,Mozambique,5516,Production,1861,Roundwood,2015,2015,m3,18708000,E,Estimated value,
FO,Forestry Production and Trade,104,Myanmar,5516,Production,1861,Roundwood,2015,2015,m3,43146000,E,Estimated value,
FO,Forestry Production and Trade,516,Namibia,5516,Production,1861,Roundwood,2015,2015,m3,1437197,E,Estimated value,
FO,Forestry Production and Trade,524,Nepal,5516,Production,1861,Roundwood,2015,2015,m3,13534406,E,Estimated value,
FO,Forestry Production and Trade,528,Netherlands (Kingdom of the),5516,Production,1861,Roundwood,2015,2015,m3,2245700,E,Estimated value,
FO,Forestry Production and Trade,540,New Caledonia,5516,Production,1861,Roundwood,2015,2015,m3,27300,E,Estimated value,
FO,Forestry Production and Trade,554,New Zealand,5516,Production,1861,Roundwood,2015,2015,m3,28968000,E,Estimated value,
FO,Forestry Production and Trade,558,Nicaragua,5516,Production,1861,Roundwood,2015,2015,m3,6294959,E,Estimated value,
FO,Forestry Production and Trade,562,Niger,5516,Production,1861,Roundwood,2015,2015,m3,11710539,E,Estimated value,
FO,Forestry Production and Trade,566,Nigeria,5516,Production,1861,Roundwood,2015,2015,m3,75309615,E,Estimated value,
FO,Forestry Production and Trade,570,Niue,5516,Production,1861,Roundwood,2015,2015,m3,46,E,Estimated value,
FO,Forestry Production and Trade,574,Norfolk Island,5516,Production,1861,Roundwood,2015,2015,m3,47,E,Estimated value,
FO,Forestry Production and Trade,807,North Macedonia,5516,Production,1861,Roundwood,2015,2015,m3,850000,E,Estimated value,
FO,Forestry Production and Trade,578,Norway,5516,Production,1861,Roundwood,2015,2015,m3,11876493,E,Estimated value,
FO,Forestry Production and Trade,512,Oman,5516,Production,1861,Roundwood,2015,2015,m3,45361,E,Estimated value,
FO,Forestry Production and Trade,586,Pakistan,5516,Production,1861,Roundwood,2015,2015,m3,33593349,E,Estimated value,
FO,Forestry Production and Trade,591,Panama,5516,Production,1861,Roundwood,2015,2015,m3,1309817,E,Estimated value,
FO,Forestry Production and Trade,598,Papua New Guinea,5516,Production,1861,Roundwood,2015,2015,m3,9573000,E,Estimated value,
FO,Forestry Production and Trade,600,Paraguay,5516,Production,1861,Roundwood,2015,2015,m3,11177785,E,Estimated value,
FO,Forestry Production and Trade,604,Peru,5516,Production,1861,Roundwood,2015,2015,m3,8395872,E,Estimated value,
FO,Forestry Production and Trade,608,Philippines,5516,Production,1861,Roundwood,2015,2015,m3,15728066,E,Estimated value,
FO,Forestry Production and Trade,616,Poland,5516,Production,1861,Roundwood,2015,2015,m3,41375282,E,Estimated value,
FO,Forestry Production and Trade,620,Portugal,5516,Production,1861,Roundwood,2015,2015,m3,11399677,E,Estimated value,
FO,Forestry Production and Trade,634,Qatar,5516,Production,1861,Roundwood,2015,2015,m3,5122,E,Estimated value,
FO,Forestry Production and Trade,410,Republic of Korea,5516,Production,1861,Roundwood,2015,2015,m3,4913000,E,Estimated value,
FO,Forestry Production and Trade,498,Republic of Moldova,5516,Production,1861,Roundwood,2015,2015,m3,1330580,E,Estimated value,
FO,Forestry Production and Trade,638,Réunion,5516,Production,1861,Roundwood,2015,2015,m3,111365,E,Estimated value,
FO,Forestry Production and Trade,642,Romania,5516,Production,1861,Roundwood,2015,2015,m3,15314700,E,Estimated value,
FO,Forestry Production and Trade,643,Russian Federation,5516,Production,1861,Roundwood,2015,2015,m3,205507000,E,Estimated value,
FO,Forestry Production and Trade,646,Rwanda,5516,Production,1861,Roundwood,2015,2015,m3,6211927,E,Estimated value,
FO,Forestry Production and Trade,662,Saint Lucia,5516,Production,1861,Roundwood,2015,2015,m3,9892,E,Estimated value,
FO,Forestry Production and Trade,666,Saint Pierre and Miquelon,5516,Production,1861,Roundwood,2015,2015,m3,600,E,Estimated value,
FO,Forestry Production and Trade,670,Saint Vincent and the Grenadines,5516,Production,1861,Roundwood,2015,2015,m3,7212,E,Estimated value,
FO,Forestry Production and Trade,882,Samoa,5516,Production,1861,Roundwood,2015,2015,m3,75700,E,Estimated value,
FO,Forestry Production and Trade,678,Sao Tome and Principe,5516,Production,1861,Roundwood,2015,2015,m3,139166,E,Estimated value,
FO,Forestry Production and Trade,682,Saudi Arabia,5516,Production,1861,Roundwood,2015,2015,m3,282245,E,Estimated value,
FO,Forestry Production and Trade,686,Senegal,5516,Production,1861,Roundwood,2015,2015,m3,6372504,E,Estimated value,
FO,Forestry Production and Trade,688,Serbia,5516,Production,1861,Roundwood,2015,2015,m3,7655000,E,Estimated value,
FO,Forestry Production and Trade,690,Seychelles,5516,Production,1861,Roundwood,2015,2015,m3,12840,E,Estimated value,
FO,Forestry Production and Trade,694,Sierra Leone,5516,Production,1861,Roundwood,2015,2015,m3,5921850,E,Estimated value,
FO,Forestry Production and Trade,702,Singapore,5516,Production,1861,Roundwood,2015,2015,m3,30164,E,Estimated value,
FO,Forestry Production and Trade,703,Slovakia,5516,Production,1861,Roundwood,2015,2015,m3,8994604,E,Estimated value,
FO,Forestry Production and Trade,705,Slovenia,5516,Production,1861,Roundwood,2015,2015,m3,5054443,E,Estimated value,
FO,Forestry Production and Trade,90,Solomon Islands,5516,Production,1861,Roundwood,2015,2015,m3,2862456,E,Estimated value,
FO,Forestry Production and Trade,706,Somalia,5516,Production,1861,Roundwood,2015,2015,m3,14556385,E,Estimated value,
FO,Forestry Production and Trade,710,South Africa,5516,Production,1861,Roundwood,2015,2015,m3,27313018,E,Estimated value,
FO,Forestry Production and Trade,728,South Sudan,5516,Production,1861,Roundwood,2015,2015,m3,4621000,E,Estimated value,
FO,Forestry Production and Trade,724,Spain,5516,Production,1861,Roundwood,2015,2015,m3,17427490,E,Estimated value,
FO,Forestry Production and Trade,144,Sri Lanka,5516,Production,1861,Roundwood,2015,2015,m3,5543448,E,Estimated value,
FO,Forestry Production and Trade,729,Sudan,5516,Production,1861,Roundwood,2015,2015,m3,16368000,E,Estimated value,
FO,Forestry Production and Trade,740,Suriname,5516,Production,1861,Roundwood,2015,2015,m3,658258,E,Estimated value,
FO,Forestry Production and Trade,752,Sweden,5516,Production,1861,Roundwood,2015,2015,m3,74300000,E,Estimated value,
FO,Forestry Production and Trade,756,Switzerland,5516,Production,1861,Roundwood,2015,2015,m3,4551980,E,Estimated value,
FO,Forestry Production and Trade,760,Syrian Arab Republic,5516,Production,1861,Roundwood,2015,2015,m3,72380,E,Estimated value,
FO,Forestry Production and Trade,762,Tajikistan,5516,Production,1861,Roundwood,2015,2015,m3,3600000,E,Estimated value,
FO,Forestry Production and Trade,764,Thailand,5516,Production,1861,Roundwood,2015,2015,m3,33407472,E,Estimated value,
FO,Forestry Production and Trade,626,Timor-Leste,5516,Production,1861,Roundwood,2015,2015,m3,97047,E,Estimated value,
FO,Forestry Production and Trade,768,Togo,5516,Production,1861,Roundwood,2015,2015,m3,4600000,E,Estimated value,
FO,Forestry Production and Trade,776,Tonga,5516,Production,1861,Roundwood,2015,2015,m3,4098,E,Estimated value,
FO,Forestry Production and Trade,780,Trinidad and Tobago,5516,Production,1861,Roundwood,2015,2015,m3,198160,E,Estimated value,
FO,Forestry Production and Trade,788,Tunisia,5516,Production,1861,Roundwood,2015,2015,m3,3914000,E,Estimated value,
FO,Forestry Production and Trade,792,Türkiye,5516,Production,1861,Roundwood,2015,2015,m3,24641800,E,Estimated value,
FO,Forestry Production and Trade,795,Turkmenistan,5516,Production,1861,Roundwood,2015,2015,m3,0,E,Estimated value,
FO,Forestry Production and Trade,796,Turks and Caicos Islands,5516,Production,1861,Roundwood,2015,2015,m3,1147,E,Estimated value,
FO,Forestry Production and Trade,800,Uganda,5516,Production,1861,Roundwood,2015,2015,m3,47544054,E,Estimated value,
FO,Forestry Production and Trade,804,Ukraine,5516,Production,1861,Roundwood,2015,2015,m3,18337000,E,Estimated value,
FO,Forestry Production and Trade,784,United Arab Emirates,5516,Production,1861,Roundwood,2015,2015,m3,18724,E,Estimated value,
FO,Forestry Production and Trade,826,United Kingdom of Great Britain and Northern Ireland,5516,Production,1861,Roundwood,2015,2015,m3,10550048,E,Estimated value,
FO,Forestry Production and Trade,834,United Republic of Tanzania,5516,Production,1861,Roundwood,2015,2015,m3,26957293,E,Estimated value,
FO,Forestry Production and Trade,840,United States of America,5516,Production,1861,Roundwood,2015,2015,m3,399023412,E,Estimated value,
FO,Forestry Production and Trade,858,Uruguay,5516,Production,1861,Roundwood,2015,2015,m3,13851826,E,Estimated value,
FO,Forestry Production and Trade,860,Uzbekistan,5516,Production,1861,Roundwood,2015,2015,m3,34000,E,Estimated value,
FO,Forestry Production and Trade,548,Vanuatu,5516,Production,1861,Roundwood,2015,2015,m3,129000,E,Estimated value,
FO,Forestry Production and Trade,862,Venezuela (Bolivarian Republic of),5516,Production,1861,Roundwood,2015,2015,m3,5551531,E,Estimated value,
FO,Forestry Production and Trade,704,Viet Nam,5516,Production,1861,Roundwood,2015,2015,m3,53335420,E,Estimated value,
FO,Forestry Production and Trade,876,Wallis and Futuna Islands,5516,Production,1861,Roundwood,2015,2015,m3,400,E,Estimated value,
FO,Forestry Production and Trade,887,Yemen,5516,Production,1861,Roundwood,2015,2015,m3,523387,E,Estimated value,
FO,Forestry Production and Trade,894,Zambia,5516,Production,1861,Roundwood,2015,2015,m3,24548000,E,Estimated value,
FO,Forestry Production and Trade,716,Zimbabwe,5516,Production,1861,Roundwood,2015,2015,m3,9744786,E,Estimated value,
